,Date,Close,Treasury Spread,10-Year Treasury Yield
0,2017-05-30,59.279999,0.93,2.21
1,2017-05-31,59.389999,0.93,2.21
2,2017-06-01,60.299999,0.93,2.21
3,2017-06-02,59.669998,0.87,2.15
4,2017-06-05,59.52,0.86,2.18
5,2017-06-06,58.529999,0.84,2.14
6,2017-06-07,59.380001,0.86,2.18
7,2017-06-08,59.110001,0.86,2.19
8,2017-06-09,58.130001,0.86,2.21
9,2017-06-12,57.119999,0.86,2.21
10,2017-06-13,57.849998,0.83,2.21
11,2017-06-14,57.48,0.80,2.15
12,2017-06-15,56.549999,0.81,2.16
13,2017-06-16,55.650002,0.84,2.16
14,2017-06-19,55.790001,0.83,2.19
15,2017-06-20,54.93,0.80,2.16
16,2017-06-21,55.169998,0.80,2.16
17,2017-06-22,55.220001,0.81,2.15
18,2017-06-23,55.18,0.81,2.15
19,2017-06-26,56.290001,0.78,2.14
20,2017-06-27,56.18,0.83,2.21
21,2017-06-28,56.77,0.88,2.22
22,2017-06-29,57.259998,0.89,2.27
23,2017-06-30,57.330002,0.93,2.31
24,2017-07-03,59.220001,0.94,2.35
25,2017-07-05,58.150002,0.92,2.33
26,2017-07-06,57.419998,0.97,2.37
27,2017-07-07,57.869999,0.99,2.39
28,2017-07-10,54.23,0.98,2.38
29,2017-07-11,53.689999,1.00,2.37
30,2017-07-12,53.299999,0.98,2.33
31,2017-07-13,54.66,0.98,2.35
32,2017-07-14,55.259998,0.98,2.33
33,2017-07-17,56.0,0.95,2.31
34,2017-07-18,55.790001,0.91,2.27
35,2017-07-19,56.169998,0.90,2.27
36,2017-07-20,53.959999,0.90,2.27
37,2017-07-21,54.139999,0.88,2.24
38,2017-07-24,54.799999,0.89,2.26
39,2017-07-25,55.32,0.93,2.33
40,2017-07-26,55.57,0.93,2.29
41,2017-07-27,57.049999,0.96,2.32
42,2017-07-28,57.639999,0.96,2.30
43,2017-07-31,58.34,0.96,2.30
44,2017-08-01,59.48,0.92,2.26
45,2017-08-02,59.380001,0.91,2.27
46,2017-08-03,59.689999,0.9,2.24
47,2017-08-04,60.279999,0.91,2.27
48,2017-08-07,61.759998,0.9,2.26
49,2017-08-08,61.48,0.93,2.29
50,2017-08-09,61.07,0.91,2.24
51,2017-08-10,59.779999,0.87,2.20
52,2017-08-11,60.07,0.89,2.19
53,2017-08-14,60.709999,0.89,2.22
54,2017-08-15,58.970001,0.92,2.27
55,2017-08-16,60.669998,0.9,2.23
